Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
K12,1.235167979222285,1.21678882486,-0.0183791543637,L5,1.29648230899,1.26846123582,-0.0280210731653,,
G12,1.069805604053909,1.06654357597,-0.00326202807928,K5,1.06787603948,1.08882946271,0.0209534232334,,
D12,1.156619825925894,1.17033141237,0.013711586442,J5,1.18109146002,1.17212240779,-0.00896905223264,,
N13,0.8806220663408771,0.89652921539,0.0159071490487,H5,1.07037872334,1.06073063787,-0.00964808547079,,
L13,1.185817016674675,1.18318133497,-0.00263568169599,G5,1.18109146002,1.18015064346,-0.000940816562868,,
H13,1.038673363834978,1.02403998583,-0.0146333780045,F5,1.06787603948,1.08983299217,0.0219569526921,,
N14,0.5038915092360542,0.504112348235,0.000220838998539,E5,1.29648230899,1.26846123582,-0.0280210731653,,
J14,1.021632195253046,1.01712079673,-0.00451139851796,C5,1.2119720473,1.20222829155,-0.00974375575098,,
F14,1.041759644562945,1.03590145284,-0.00585819171726,A5,0.534700259487,0.52584943637,-0.00885082311665,,
L15,0.5240166488658832,0.517950726421,-0.00606592244463,R6,0.738410180103,0.725551798656,-0.012858381447,,
H15,0.768789765910131,0.789776012234,0.0209862463241,P6,1.0343232521,1.04969181382,0.0153685617233,,
,,,,N6,1.08546833111,1.0647447557,-0.0207235754059,,
,,,,M6,1.251633969,1.23534476369,-0.0162892053132,,
,,,,L6,1.06787603948,1.08983299217,0.0219569526921,,
,,,,K6,1.21137560246,1.21427064505,0.00289504259368,,
,,,,J6,1.07177067377,1.07578357975,0.00401290598004,,
,,,,H6,1.03052556396,1.05571299058,0.0251874266156,,
,,,,G6,1.07177067377,1.07879416813,0.0070234943562,,
,,,,F6,1.21137560246,1.21427064505,0.00289504259368,,
,,,,E6,1.06787603948,1.08882946271,0.0209534232334,,
,,,,D6,1.251633969,1.23634829315,-0.0152856758544,,
,,,,C6,1.08546833111,1.06675181462,-0.0187165164885,,
,,,,B6,1.0343232521,1.05169887274,0.0173756206407,,
,,,,A6,0.738410180103,0.726555328115,-0.0118548519882,,
,,,,R7,0.811809673361,0.809848273189,-0.0019614001723,,
,,,,P7,1.03333047765,1.03263181302,-0.00069866462501,,
,,,,N7,1.14773808035,1.13900593565,-0.00873214470047,,
,,,,M7,1.0876007172,1.08280828596,-0.00479243123891,,
,,,,L7,1.18109146002,1.18015064346,-0.000940816562868,,
,,,,K7,1.07177067377,1.07879416813,0.0070234943562,,
,,,,J7,1.04538528162,1.05671652003,0.0113312384143,,
,,,,H7,1.03692369164,1.04969181382,0.0127681221833,,
,,,,G7,1.04538528162,1.05671652003,0.0113312384143,,
,,,,F7,1.07177067377,1.07678710921,0.00501643543876,,
,,,,E7,1.18109146002,1.17212240779,-0.00896905223264,,
,,,,D7,1.0876007172,1.08280828596,-0.00479243123891,,
,,,,C7,1.14773808035,1.14803770078,0.000299620428026,,
,,,,B7,1.03333047765,1.03865298978,0.00532251212732,,
,,,,A7,0.811809673361,0.811855332106,4.56587451391e-05,,
,,,,R8,0.781328622209,0.801820037519,0.0204914153099,,
,,,,P8,1.00127577696,1.01356475331,0.0122889763493,,
,,,,N8,1.03505680136,1.03965651924,0.00459971787604,,
,,,,M8,1.12117380649,1.1279671116,0.00679330511359,,
,,,,L8,1.07037872334,1.06073063787,-0.00964808547079,,
,,,,K8,1.03052556396,1.05571299058,0.0251874266156,,
,,,,J8,1.03692369164,1.04969181382,0.0127681221833,,
,,,,G8,1.03692369164,1.05069534328,0.013771651642,,
,,,,F8,1.03052556396,1.05571299058,0.0251874266156,,
,,,,E8,1.07037872334,1.06073063787,-0.00964808547079,,
,,,,D8,1.12117380649,1.1279671116,0.00679330511359,,
,,,,C8,1.03505680136,1.03965651924,0.00459971787604,,
,,,,B8,1.00127577696,1.01356475331,0.0122889763493,,
,,,,A8,0.781328622209,0.801820037519,0.0204914153099,,
